Loaded 1 remote nodes
Node JamesBridges initialized on IP 10.90.74.12
Configuration: threads = 10, eventsPerThread = 500, remoteSendPercent = 25%
Thread-7 LOCAL: Event from JamesBridges to JamesBridges with timestamp 666
Thread-7 LOCAL: Event from JamesBridges to JamesBridges with timestamp 668
Thread-7 LOCAL: Event from JamesBridges to JamesBridges with timestamp 670
Thread-7 SENT: Event from JamesBridges to BraileySharpe with timestamp 672
RECEIVED: Event from BraileySharpe to JamesBridges with timestamp 106
Thread-9 LOCAL: Event from JamesBridges to JamesBridges with timestamp 588
Thread-9 LOCAL: Event from JamesBridges to JamesBridges with timestamp 676
Thread-9 LOCAL: Event from JamesBridges to JamesBridges with timestamp 678
Thread-9 LOCAL: Event from JamesBridges to JamesBridges with timestamp 680
Thread-9 SENT: Event from JamesBridges to BraileySharpe with timestamp 682
RECEIVED: Event from BraileySharpe to JamesBridges with timestamp 129
RECEIVED: Event from BraileySharpe to JamesBridges with timestamp 47
RECEIVED: Event from BraileySharpe to JamesBridges with timestamp 151
RECEIVED: Event from BraileySharpe to JamesBridges with timestamp 55
RECEIVED: Event from BraileySharpe to JamesBridges with timestamp 162
RECEIVED: Event from BraileySharpe to JamesBridges with timestamp 190
Thread-2 SENT: Event from JamesBridges to BraileySharpe with timestamp 602
RECEIVED: Event from BraileySharpe to JamesBridges with timestamp 54
RECEIVED: Event from BraileySharpe to JamesBridges with timestamp 209
RECEIVED: Event from BraileySharpe to JamesBridges with timestamp 171
RECEIVED: Event from BraileySharpe to JamesBridges with timestamp 228
RECEIVED: Event from BraileySharpe to JamesBridges with timestamp 184
Thread-1 LOCAL: Event from JamesBridges to JamesBridges with timestamp 626
Thread-1 SENT: Event from JamesBridges to BraileySharpe with timestamp 716
Thread-3 LOCAL: Event from JamesBridges to JamesBridges with timestamp 608
Thread-3 SENT: Event from JamesBridges to BraileySharpe with timestamp 718
RECEIVED: Event from BraileySharpe to JamesBridges with timestamp 170
Thread-4 LOCAL: Event from JamesBridges to JamesBridges with timestamp 628
Thread-4 LOCAL: Event from JamesBridges to JamesBridges with timestamp 722
Thread-4 LOCAL: Event from JamesBridges to JamesBridges with timestamp 724
